token,category,label
TOTAL,education,"All ISCED 2011 levels"
ED0-2,education,"Less than primary, primary and lower secondary education (levels 0-2)"
ED3_4,education,"Upper secondary and post-secondary non-tertiary education (levels 3 and 4)"
ED3_4GEN,education,"Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general"
ED3_4VOC,education,"Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational"
ED5-8,education,"Tertiary education (levels 5-8)"
NRP,education,"No response"
A,industry,"Agriculture, forestry and fishing"
B,industry,"Mining and quarrying"
C,industry,"Manufacturing"
D,industry,"Electricity, gas, steam and air conditioning supply"
E,industry,"Water supply; sewerage, waste management and remediation activities"
F,industry,"Construction"
G,industry,"Wholesale and retail trade; repair of motor vehicles and motorcycles"
H,industry,"Transportation and storage"
I,industry,"Accommodation and food service activities"
J,industry,"Information and communication"
K,industry,"Financial and insurance activities"
L,industry,"Real estate activities"
M,industry,"Professional, scientific and technical activities"
N,industry,"Administrative and support service activities"
O,industry,"Public administration and defence; compulsory social security"
P,industry,"Education"
Q,industry,"Human health and social work activities"
R,industry,"Arts, entertainment and recreation"
S,industry,"Other service activities"
T,industry,"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
U,industry,"Activities of extraterritorial organisations and bodies"
OC1,occupation,"Managers"
OC2,occupation,"Professionals"
OC3,occupation,"Technicians and associate professionals"
OC4,occupation,"Clerical support workers"
OC5,occupation,"Service and sales workers"
OC6,occupation,"Skilled agricultural, forestry and fishery workers"
OC7,occupation,"Craft and related trades workers"
OC8,occupation,"Plant and machine operators and assemblers"
OC9,occupation,"Elementary occupations"
OC0,occupation,"Armed forces occupations"
