Table,Column
neov_gov_income_outcome_fact,income_outcome_mio_eur
neov_dim_date,year_value
neov_gov_income_outcome_fact,income_outcome_mio_eur_py
neov_dim_date,year_value
neov_gov_income_outcome_fact,State with highest absolut expenditure
Avg(neov_gov_income_outcome_fact,value)
neov_gov_na_item_dim,mapping
neov_gov_income_outcome_fact,State with highest absolut expenditure
neov_gov_income_outcome_fact,income_outcome_mio_eur
neov_dim_date,year_value
neov_gov_income_outcome_fact,income_outcome_mio_eur_py
neov_gov_na_item_dim,mapping
neov_gov_geo_dim,country
neov_gov_income_outcome_fact,int_pct
neov_dim_date,year_value
neov_gov_na_item_dim,mapping
neov_gov_income_outcome_fact,int_pct
neov_gov_geo_dim,country
neov_gov_income_outcome_fact,unit
neov_dim_date,year_value
neov_gov_na_item_dim,mapping
Sum(neov_gov_income_outcome_fact,value)
Sum(neov_gov_income_outcome_fact,value)
neov_gov_na_item_dim,mapping
neov_gov_geo_dim,country
Sum(neov_gov_income_outcome_fact,value)
neov_gov_na_item_dim,mapping
neov_dim_date,year_value
neov_gov_na_item_dim,mapping
Sum(neov_gov_income_outcome_fact,value)
Sum(neov_gov_income_outcome_fact,value)
neov_gov_na_item_dim,mapping
neov_gov_geo_dim,country
Sum(neov_gov_income_outcome_fact,value)
neov_gov_na_item_dim,mapping
Sum(neov_gov_income_outcome_fact,value)
neov_gov_na_item_dim,mapping
neov_gov_geo_dim,country
neov_dim_date,year_value
neov_gov_na_item_dim,mapping
Sum(neov_gov_income_outcome_fact,value)
Sum(neov_gov_income_outcome_fact,value)
neov_gov_na_item_dim,mapping
neov_gov_na_item_dim,mapping
Sum(neov_gov_expense_fact,value)
neov_gov_na_item_dim,mapping
neov_gov_geo_dim,country
Sum(neov_gov_expense_fact,value)
